"Step","spikformer_x1_d1_e200 - test/acc1_g2","spikformer_x1_d1_e200 - test/acc1_g2__MIN","spikformer_x1_d1_e200 - test/acc1_g2__MAX","spikformer_x2_d1_e200 - test/acc1_g2","spikformer_x2_d1_e200 - test/acc1_g2__MIN","spikformer_x2_d1_e200 - test/acc1_g2__MAX","spikformer_x2_d3_e256_m4_h16 - test/acc1_g2","spikformer_x2_d3_e256_m4_h16 - test/acc1_g2__MIN","spikformer_x2_d3_e256_m4_h16 - test/acc1_g2__MAX","spikformer_x1_d3_e256_m4_h16 - test/acc1_g2","spikformer_x1_d3_e256_m4_h16 - test/acc1_g2__MIN","spikformer_x1_d3_e256_m4_h16 - test/acc1_g2__MAX","spikformer_x2_d2_e256_m4_h16 - test/acc1_g2","spikformer_x2_d2_e256_m4_h16 - test/acc1_g2__MIN","spikformer_x2_d2_e256_m4_h16 - test/acc1_g2__MAX","spikformer_x1_d2_e256_m4_h16 - test/acc1_g2","spikformer_x1_d2_e256_m4_h16 - test/acc1_g2__MIN","spikformer_x1_d2_e256_m4_h16 - test/acc1_g2__MAX","spikformer_x1_d1_e256_m4_h16 - test/acc1_g2","spikformer_x1_d1_e256_m4_h16 - test/acc1_g2__MIN","spikformer_x1_d1_e256_m4_h16 - test/acc1_g2__MAX","spikformer_x2_d1_e256_m4_h16 - test/acc1_g2","spikformer_x2_d1_e256_m4_h16 - test/acc1_g2__MIN","spikformer_x2_d1_e256_m4_h16 - test/acc1_g2__MAX"
"54","65.1","65.1","65.1","68","68","68","74.6","74.6","74.6","46","46","46","74.3","74.3","74.3","59","59","59","65.2","65.2","65.2","70.5","70.5","70.5"
"55","74.5","74.5","74.5","73.3","73.3","73.3","74.7","74.7","74.7","66.6","66.6","66.6","72.1","72.1","72.1","70.5","70.5","70.5","74.3","74.3","74.3","77","77","77"
"56","72.3","72.3","72.3","74.3","74.3","74.3","73.9","73.9","73.9","52.2","52.2","52.2","75.3","75.3","75.3","70.6","70.6","70.6","75.7","75.7","75.7","77.7","77.7","77.7"
"57","68.9","68.9","68.9","69.4","69.4","69.4","72.5","72.5","72.5","60.3","60.3","60.3","71.4","71.4","71.4","66.9","66.9","66.9","60.6","60.6","60.6","74","74","74"
"58","72.7","72.7","72.7","75.2","75.2","75.2","72.9","72.9","72.9","67.5","67.5","67.5","75.3","75.3","75.3","70.4","70.4","70.4","75.3","75.3","75.3","73.2","73.2","73.2"
"59","70.2","70.2","70.2","71.4","71.4","71.4","71","71","71","59.2","59.2","59.2","65.2","65.2","65.2","62.4","62.4","62.4","72.8","72.8","72.8","73.3","73.3","73.3"
"60","70","70","70","71","71","71","74.1","74.1","74.1","61.2","61.2","61.2","77.8","77.8","77.8","68.5","68.5","68.5","73.9","73.9","73.9","68.1","68.1","68.1"
"61","70.7","70.7","70.7","70.7","70.7","70.7","77.1","77.1","77.1","68.4","68.4","68.4","75.5","75.5","75.5","73.5","73.5","73.5","77","77","77","76.8","76.8","76.8"
"62","73.6","73.6","73.6","73.2","73.2","73.2","72.2","72.2","72.2","63.8","63.8","63.8","74.9","74.9","74.9","68.8","68.8","68.8","71.7","71.7","71.7","77.2","77.2","77.2"
"63","71.9","71.9","71.9","75.7","75.7","75.7","74.8","74.8","74.8","65.6","65.6","65.6","76","76","76","72.7","72.7","72.7","75","75","75","76.5","76.5","76.5"
"64","66.9","66.9","66.9","69.3","69.3","69.3","74.8","74.8","74.8","60.7","60.7","60.7","71.2","71.2","71.2","62.5","62.5","62.5","67.5","67.5","67.5","77.9","77.9","77.9"
"65","66.4","66.4","66.4","72.4","72.4","72.4","72.5","72.5","72.5","61.7","61.7","61.7","74.5","74.5","74.5","68.8","68.8","68.8","69","69","69","76.6","76.6","76.6"
"66","70.6","70.6","70.6","67.3","67.3","67.3","75.5","75.5","75.5","60.5","60.5","60.5","75","75","75","70","70","70","68.8","68.8","68.8","74.4","74.4","74.4"
"67","72.5","72.5","72.5","75.5","75.5","75.5","75.4","75.4","75.4","65.6","65.6","65.6","77.6","77.6","77.6","72.4","72.4","72.4","73.8","73.8","73.8","76.1","76.1","76.1"
"68","72.7","72.7","72.7","75.1","75.1","75.1","75.4","75.4","75.4","67.6","67.6","67.6","77.4","77.4","77.4","74.1","74.1","74.1","75.1","75.1","75.1","78","78","78"
"69","68.2","68.2","68.2","73.7","73.7","73.7","76.7","76.7","76.7","68.7","68.7","68.7","75","75","75","71.7","71.7","71.7","74.2","74.2","74.2","79.3","79.3","79.3"
"70","70.8","70.8","70.8","70.1","70.1","70.1","76.1","76.1","76.1","66","66","66","75","75","75","72.2","72.2","72.2","74.1","74.1","74.1","77","77","77"
"71","70","70","70","70.4","70.4","70.4","76.3","76.3","76.3","61.8","61.8","61.8","76.1","76.1","76.1","70","70","70","74.6","74.6","74.6","77","77","77"
"72","72.2","72.2","72.2","74.6","74.6","74.6","75.4","75.4","75.4","64.6","64.6","64.6","75.1","75.1","75.1","70.7","70.7","70.7","74.7","74.7","74.7","75.5","75.5","75.5"
"73","74.9","74.9","74.9","70.4","70.4","70.4","77.3","77.3","77.3","68.6","68.6","68.6","77.4","77.4","77.4","74.5","74.5","74.5","73","73","73","78.2","78.2","78.2"
"74","67.1","67.1","67.1","73.1","73.1","73.1","75.7","75.7","75.7","60.1","60.1","60.1","76.2","76.2","76.2","64","64","64","69.8","69.8","69.8","74.1","74.1","74.1"
"75","74.1","74.1","74.1","75","75","75","75.3","75.3","75.3","69.3","69.3","69.3","76.8","76.8","76.8","72.1","72.1","72.1","77.3","77.3","77.3","78.3","78.3","78.3"
"76","70.6","70.6","70.6","65.7","65.7","65.7","76.8","76.8","76.8","68.3","68.3","68.3","75.7","75.7","75.7","73.6","73.6","73.6","75.3","75.3","75.3","78.2","78.2","78.2"
"77","74.1","74.1","74.1","73.9","73.9","73.9","75.6","75.6","75.6","64.5","64.5","64.5","76.8","76.8","76.8","68.6","68.6","68.6","74","74","74","76.7","76.7","76.7"
"78","73","73","73","76.7","76.7","76.7","77.1","77.1","77.1","67.9","67.9","67.9","76.8","76.8","76.8","73.1","73.1","73.1","76.6","76.6","76.6","76.8","76.8","76.8"
"79","72.9","72.9","72.9","74.7","74.7","74.7","74.6","74.6","74.6","65.6","65.6","65.6","77.8","77.8","77.8","70.5","70.5","70.5","75.2","75.2","75.2","77.5","77.5","77.5"
"80","74.1","74.1","74.1","75.4","75.4","75.4","76.8","76.8","76.8","69.6","69.6","69.6","77.5","77.5","77.5","71.5","71.5","71.5","76.5","76.5","76.5","78.3","78.3","78.3"
"81","71.4","71.4","71.4","77.1","77.1","77.1","76.3","76.3","76.3","71.3","71.3","71.3","77.5","77.5","77.5","74.5","74.5","74.5","76.1","76.1","76.1","80","80","80"
"82","72.1","72.1","72.1","74.8","74.8","74.8","75.9","75.9","75.9","71.5","71.5","71.5","78.1","78.1","78.1","75.4","75.4","75.4","75.5","75.5","75.5","79.1","79.1","79.1"
"83","70.8","70.8","70.8","70.4","70.4","70.4","75.9","75.9","75.9","66.5","66.5","66.5","76.1","76.1","76.1","73.4","73.4","73.4","75.5","75.5","75.5","77.4","77.4","77.4"
"84","72.2","72.2","72.2","69.8","69.8","69.8","73.5","73.5","73.5","64.7","64.7","64.7","75.1","75.1","75.1","69.8","69.8","69.8","75.5","75.5","75.5","76.2","76.2","76.2"
"85","72.4","72.4","72.4","75.7","75.7","75.7","78.3","78.3","78.3","68.7","68.7","68.7","78.1","78.1","78.1","72.9","72.9","72.9","76.1","76.1","76.1","78","78","78"
"86","73.7","73.7","73.7","75.2","75.2","75.2","75","75","75","64.2","64.2","64.2","76.5","76.5","76.5","70.5","70.5","70.5","75","75","75","76.7","76.7","76.7"
"87","74.9","74.9","74.9","73.4","73.4","73.4","73.3","73.3","73.3","65.3","65.3","65.3","76.2","76.2","76.2","71.1","71.1","71.1","76","76","76","76.4","76.4","76.4"
"88","74.6","74.6","74.6","76.7","76.7","76.7","78.3","78.3","78.3","70.9","70.9","70.9","77.5","77.5","77.5","73.9","73.9","73.9","77.5","77.5","77.5","79.4","79.4","79.4"
"89","75.3","75.3","75.3","77.4","77.4","77.4","78.3","78.3","78.3","69.2","69.2","69.2","78.8","78.8","78.8","73.5","73.5","73.5","77.6","77.6","77.6","80.5","80.5","80.5"
"90","75","75","75","74","74","74","76.8","76.8","76.8","69.8","69.8","69.8","79.2","79.2","79.2","73.7","73.7","73.7","78.1","78.1","78.1","79.6","79.6","79.6"
"91","75","75","75","73.7","73.7","73.7","76.6","76.6","76.6","69.4","69.4","69.4","78.6","78.6","78.6","73.8","73.8","73.8","77.5","77.5","77.5","78.4","78.4","78.4"
"92","73.1","73.1","73.1","76.6","76.6","76.6","77.6","77.6","77.6","70.5","70.5","70.5","79.1","79.1","79.1","73.5","73.5","73.5","77.5","77.5","77.5","79.5","79.5","79.5"
"93","73.4","73.4","73.4","75.5","75.5","75.5","76.9","76.9","76.9","68.7","68.7","68.7","78.9","78.9","78.9","72.6","72.6","72.6","75.9","75.9","75.9","79.2","79.2","79.2"
"94","74.4","74.4","74.4","75.5","75.5","75.5","77.2","77.2","77.2","70.7","70.7","70.7","78.1","78.1","78.1","72.9","72.9","72.9","78.1","78.1","78.1","78.2","78.2","78.2"
"95","73.3","73.3","73.3","70.5","70.5","70.5","72.8","72.8","72.8","62.2","62.2","62.2","74.6","74.6","74.6","68.2","68.2","68.2","75.4","75.4","75.4","74.7","74.7","74.7"
"96","75.4","75.4","75.4","77.6","77.6","77.6","78.3","78.3","78.3","69.7","69.7","69.7","79.3","79.3","79.3","74.9","74.9","74.9","77.5","77.5","77.5","80.4","80.4","80.4"
"97","74.4","74.4","74.4","77","77","77","77.1","77.1","77.1","69.5","69.5","69.5","78.1","78.1","78.1","75","75","75","77.5","77.5","77.5","79.2","79.2","79.2"
"98","76.1","76.1","76.1","74.4","74.4","74.4","73.6","73.6","73.6","65.2","65.2","65.2","74.6","74.6","74.6","69.4","69.4","69.4","75","75","75","77","77","77"
"99","72.2","72.2","72.2","75.2","75.2","75.2","75.4","75.4","75.4","66.4","66.4","66.4","76.3","76.3","76.3","71.1","71.1","71.1","76","76","76","77.6","77.6","77.6"
"100","74.6","74.6","74.6","76","76","76","77.7","77.7","77.7","69.3","69.3","69.3","77.2","77.2","77.2","72.8","72.8","72.8","78","78","78","78.9","78.9","78.9"
"101","71.9","71.9","71.9","75.9","75.9","75.9","77","77","77","70.3","70.3","70.3","77.5","77.5","77.5","75.8","75.8","75.8","77.3","77.3","77.3","79.3","79.3","79.3"
"102","72.8","72.8","72.8","76.6","76.6","76.6","76.7","76.7","76.7","66.1","66.1","66.1","76.5","76.5","76.5","72.9","72.9","72.9","77.1","77.1","77.1","77.3","77.3","77.3"
"103","74.1","74.1","74.1","75.9","75.9","75.9","74.5","74.5","74.5","61.4","61.4","61.4","75.9","75.9","75.9","68","68","68","74.1","74.1","74.1","76.9","76.9","76.9"
"104","73.8","73.8","73.8","76.8","76.8","76.8","","","","69.8","69.8","69.8","77.2","77.2","77.2","73.9","73.9","73.9","77.5","77.5","77.5","78.8","78.8","78.8"
"105","72.7","72.7","72.7","74.7","74.7","74.7","","","","66","66","66","76.8","76.8","76.8","73.4","73.4","73.4","77.9","77.9","77.9","78.5","78.5","78.5"
